Comments,Image,Avatar_URL,Date of Review,Name of Reviewer,Location,phmbo,phmbo1,qwuub_URL,Comment Title,Date of Stay,Response from hotel staff,Response time,Response comment,
"The room door was left open and on the latch by housekeeping for multiple hours, when I returned after 6 hours walking around Bristol. Complained to the front desk livid, but nobody seemed to care. Zero apology, zero recognition of their mistake, and zero understanding of the security implications. I was told they thought they knew who had done it from housekeeping and they would get back to me with an explanation. Still waiting 7 days later.",,https://www.tripadvisor.co.uk/Profile/alex61472023,alex61472023 wrote a review Mar 2023,alex61472023,"Perth, Australia",2 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r882548710-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Nobody cares about security.,Date of stay: February 2023,,,,
"Upon booking in the reception staff were both polite and very helpful, especially it being our first time at the Royal Hotel. We were informed of the car parking and how we could get to our room. The room was very clean and tidy and a nice touch on the TV was our details and bill info. We attended 50th birthday party and the food that we all ordered was exceptional value to money but above up the quality of the food was first class. Everyone who attended all remarked how good the food was. The stay at the Royal hotel Bristol will be go down as one of the best hotels we have stayed in the UK.  ",,https://www.tripadvisor.co.uk/Profile/Holman70,Burrington wrote a review Mar 2023,Burrington,"Southampton, United Kingdom",7 contributions,10 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r882161132-Bristol_Marriott_Royal_Hotel-Bristol_England.html,50th birthday celebration/overnight stay.,Date of stay: March 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 15 Mar 2023",Responded 15 Mar 2023,"One of The Best!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read the Royal will go down as one of the best hotels you have staying in.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
Booked direct for my 60th birthday celebrations. Was given a room upgrade which included  a bottle of champagne and chocolates - a very generous birthday treat. Hotel great location with very good breakfast options. A five star stay.,,https://www.tripadvisor.co.uk/Profile/nickcF929PN,Trickster wrote a review Mar 2023,Trickster,"Dartmoor National Park, United Kingdom",5 contributions,2 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r881232347-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Five star birthday treat,Date of stay: March 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 9 Mar 2023",Responded 9 Mar 2023,"Five Star!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you enjoyed your birthday staying with us.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"I booked this hotel for a weekend stay, whilst I was attending a HiFi show in the city. I had left it a little late to book accommodation, but I am pleased to say that my stay at this hotel was fabulous. The room was very comfortable and spacious with an excellent shower room. The Miller and Carter restaurant was very busy on the night, but despite travelling on my own they managed to find me a table. The food was excellent and reasonably priced.  I would definitely stay at the hotel again, the next time I am in Bristol, and would definitely stay in a Marriott hotel again in the future, if this is an example of what to expect.",,https://www.tripadvisor.co.uk/Profile/derek727,derek727 wrote a review Mar 2023,derek727,"Hockley, United Kingdom",5 contributions,3 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r880906073-Bristol_Marriott_Royal_Hotel-Bristol_England.html,A very high quality hotel,Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 9 Mar 2023",Responded 9 Mar 2023,"High Quality!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you enjoyed staying with us and do hope you enjoyed the HiFI show.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Hotel ambience on entrance is lovely. Very grand reception area. Lots of good points noted throughout the stay and the staff are welcoming, friendly and attentive.  A few improvements....  Breakfast is a bun fight (quite literally).  Greeted by a friendly person, but I think long hair should be tied back when working in or around food delivery areas.  There's no system in place or order to breakfast stations so it's full of people going back and forward and clamouring for their choices. A one way system or signage would help this. For instance there are plates at either end of the hot servery which is confusing. Sauces available at one end only which is awkward.   The bowls for breakfast cereal and yogurt having been recently washed were roasting hot.   The shower screen did not",,https://www.tripadvisor.co.uk/Profile/StoneRose83,StoneRose83 wrote a review Feb 2023,StoneRose83,"Birmingham, United Kingdom",26 contributions,15 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r880225615-Bristol_Marriott_Royal_Hotel-Bristol_England.html,A few improvements needed,Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 8 Mar 2023",Responded 8 Mar 2023,"Dear StoneRose83  On behalf of the entire hotel team, we want to thank you for sharing your experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  We apologize for the disappointing aspects of your stay, we have reviewed with the hotel team to help make improvements .  We appreciate you taking the time to share your feedback and staying with us, and we look forward to seeing you again soon.",
"Booked 2 rooms 1 for myself and another for my sister for my birthday weekend to celebrate with old colleagues, the staff went above and beyond my daughter who had booked for me obviously told them about my birthday and they had decorated my room, left me a birthday card and a bottle of wine such a lovely gesture x great Location great room and fantastic staff thanks so much for making my weekend special x will be back next year (if I'm still alive 😀)",,https://www.tripadvisor.co.uk/Profile/lizthomas0911,lizthomas0911 wrote a review Feb 2023,lizthomas0911,"Kent, United Kingdom",12 contributions,14 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r879967489-Bristol_Marriott_Royal_Hotel-Bristol_England.html,96th birthday,Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 9 Mar 2023",Responded 9 Mar 2023,"Birthday Treat!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read such and amazing review.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again on your 97th Birthday 😊.",
"Stayed here for one night, but unfortunately it was not overly comfortable. On the positive side the room was spacious, with complimentary waters and toiletries ( although I don’t favour the refillable ones, as previous guests could tamper with them). The location is great, near the theatre, lovely restaurants and bars and the aquarium and harbour. Unfortunately the bathroom was tiny (especially for 4 guests) with little vanity space and stiff, thin towels. The duvets were wafer thin too, so we were cold in the night and kept waking up. There was a beeping in the corridor too which kept us awake until Reception were called to sort it out. Breakfast was busy but well stocked with fresh items. The system however is strange. I wanted to order a porridge and so was directed to the",,https://www.tripadvisor.co.uk/Profile/JSY2020,JACJ wrote a review Feb 2023,JACJ,South Wales,79 contributions,80 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r879738415-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Could be so much better,Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 23 Feb 2023",Responded 23 Feb 2023,"Dear Raidon22  On behalf of the entire hotel team, we want to thank you for sharing your experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  We apologize for the disappointing aspects of your stay, our duvets are an all year round Tog and all rooms do have temperature controls so the temperature of the room can be adjusted.  We appreciate you taking the time to share your feedback and staying with us, and we look forward to seeing you again soon. ",
Hotel was spot on  Good staff and service Great food Great location Ideal for me and my family to meet up I recommend this Hotel because it’s right by The Quay where all the bards an Restraunts are also there’s a GOOD Restraunt in the Hotel a MILLER & CARTER lovely to ,,https://www.tripadvisor.co.uk/Profile/kruegar2u,Denzil D wrote a review Feb 2023,Denzil D,"Haverfordwest, United Kingdom",27 contributions,46 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r879730303-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Family reunion ,Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 9 Mar 2023",Responded 9 Mar 2023,"Spot on!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you found the hotel Ideal for the family reunion.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
I stayed in a superior room in the Bristol Marriott Royal Hotel. The staff were courteous and very helpful. The room was a good size and very clean with a king size bed. It was also very quiet. The bathroom was also large and very clean. I ordered breakfast to be brought to my room. It arrived on time and was very good. I shall certainly stay there again.,,https://www.tripadvisor.co.uk/Profile/563lizv,Liz V wrote a review Feb 2023,Liz V,"London, England, United Kingdom",2 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r879552327-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Very good comfortable , quiet hotel",Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 22 Feb 2023",Responded 22 Feb 2023,"Very Good!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you would stay again with us.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"I stayed one night with my family in two rooms. For such a grand old building one can see that the team are around the clock maintaining it to a high standard. The rooms were all clean with latest screen TV's and electric sockets. Reception were plentiful, friendly and 24/7. Highly recommend this Hotel",,https://www.tripadvisor.co.uk/Profile/bartaclondon,Alex Bart wrote a review Feb 2023,Alex Bart,,3 contributions,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r879414656-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Terrific staff and impressive building,Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 22 Feb 2023",Responded 22 Feb 2023,"Terrific!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you would Highly recommend us.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Another fabulous stay at this gorgeous hotel. The ladies on reception were so efficient and lovely - they were very accommodating trying to find us the perfect family room for us. We had a great view over College Green and our room was lovely. So clean and well equipped. The breakfast was great too, we got a table in the morning overlooking the cathedral both days, food selection great. We love the hotel lounge areas and the gym was great too - so clean and well equipped. We will definitely return as it’s my favourite hotel, been coming here for 20 years! Great that breakfast served until late and that check out is 12 too, you don’t feel too rushed. ",,https://www.tripadvisor.co.uk/Profile/Chl0,Chl0 wrote a review Feb 2023,Chl0,"Taunton, United Kingdom",108 contributions,89 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r879187186-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Beautiful hotel in great location. So clean and well managed , lovely reception team. ",Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 22 Feb 2023",Responded 22 Feb 2023,"Beautiful!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you had another fabulous stay.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"I recently stayed one night at the Marriott Royal whilst on business in Bristol.  My room was large, and contained two beds, and there were all the usual amenities eg TV, free wi-fi, tea/coffee & biscuits, iron etc and the bathroom was clean and bright. Unfortunately, it wasn't possible to open the window to get some fresh air into the room.  Check in took around 20 minutes as I seemed to have arrived at the same time as a number of others, but check-out in the morning was very quick.  The charge for the car-park was £17 and the parking bay were narrow. However, was the first level was busy, the level below was virtually empty so it was easy to park there.  I didn't have breakfast so can't comment on that, and I have separately reviewed the restaurant",,https://www.tripadvisor.co.uk/Profile/fatbear2000,fatbear2000 wrote a review Feb 2023,fatbear2000,"Oxford, United Kingdom",4036 contributions,1608 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r878976980-Bristol_Marriott_Royal_Hotel-Bristol_England.html,One Night Stay,Date of stay: January 2023,,,,
"We stayed for a night to attend our sons graduation. The hotel was lovely and our room was large, clean and had everything a guest could need, toiletries, coffee, teas, fridge etc... The bed was comfy and the room was quiet at night (always a bonus!) Bristol is extremely big and busy and the hotel felt very calm and relaxing.  Check in was easy and there is plenty of room in the safe underground car park (£17 per night for hotel guests) The lady on reception was very friendly. The only thing that let the stay down was the Miller and Carter restaurant. They were very understaffed and our meal for 4 people took 3 hours as service between courses was virtually non existent and relied upon us keep searching out staff! All the guests around us were having to do the same thing. When",,https://www.tripadvisor.co.uk/Profile/karen15202015,karen15202015 wrote a review Feb 2023,karen15202015,"London, United Kingdom",2 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r878933933-Bristol_Marriott_Royal_Hotel-Bristol_England.html,"Fab Hotel, shame about the restaurant",Date of stay: February 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 22 Feb 2023",Responded 22 Feb 2023,"Fabulous!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you found our hotel to have everything you needed.   I am sorry to read about your experience in Miller & Carter and I have passed the feedback directly to them and they apologies for not getting right on this occasion.   We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"This is a large, comfortable hotel in an interesting building with good staff, but I feel it is not making the most of its best assets. First, the room. This was fine, with with a good bed and bathroom, very clean, all the usual facilities, though a frankly horrible painting of a trumpeter on the wall did nothing to improve the rather grey decor. More importantly, the bedroom window was sealed shut. So there was no way to ventilate the room. Surely the pandemic should have made hotels aware of the crucial importance of fresh air - closed internal ventilation systems are not enough. And apart from the health aspect, most people want to be able to open their own window!  Second, the Palm Court on the ground floor. This is a huge, exceptionally beautiful space stretching up three",,https://www.tripadvisor.co.uk/Profile/Poussis,Poussis wrote a review Feb 2023,Poussis,"Cornwall, United Kingdom",23 contributions,95 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r878136617-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Good hotel -  but it is not using its best assets,Date of stay: January 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 22 Feb 2023",Responded 22 Feb 2023,"Good!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you you had a good stay.   Palm court and the bar area is an extremally popular events space and on occasions it is not in use we open the doors so all our guests can admire such an impressive room.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"The Marriott Royal has held a special place in our heart for over a decade.  We were married here, we held my mums 60th birthday here and it is (was) our go to hotel.   We don’t get many nights away now as our daughter is disabled and arranging overnight respite care is extremely difficult.  This is why when we do go away we like to go somewhere luxurious.  Unfortunately the Marriott is slowly stripping the luxury away. We were so excited for our stay, we were looking forward to using the pool and the spa area but alas it is no more.  Just an extended gym.   This really disappointed us.    The rooms have supposedly been refurbished but this just means a lick of paint. The furniture is the same chipped and dated mahogany furniture that has been there for over 12 years.   The",,https://www.tripadvisor.co.uk/Profile/Mrs_Vinny,Mrs_Vinny wrote a review Feb 2023,Mrs_Vinny,"Bath, United Kingdom",133 contributions,79 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r877391002-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Time to find a new hotel,Date of stay: February 2023,,,,
"Staff friendly, breakfast was good Bathroom floor was dirty and shower needed a clean. Used cups not changed.   Noise coming from guests at 2am who were using terrace - need to close this off so rooms facing terrace do not hear people there ( after midnight)",,https://www.tripadvisor.co.uk/Profile/Raidon22,Raidon22 wrote a review Jan 2023,Raidon22,"London, United Kingdom",262 contributions,296 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r877064426-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Should be better than this,Date of stay: January 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 3 Feb 2023",Responded 3 Feb 2023,"Dear Raidon22  On behalf of the entire hotel team, we want to thank you for sharing your experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  We apologize for the disappointing aspects of your stay, and we have raised your concerns with the housekeeping team  We appreciate you taking the time to share your feedback and staying with us, and we look forward to seeing you again soon.",
"We had yet another fantastic stay at this lovely hotel.  On arrival the staff are welcoming, friendly, polite and efficient.  We were quickly ushered to reception and although we arrived early they checked if our room was ready.   It was not but it was no problem to leave our luggage and go into the city.    The room was immaculate,  and all facilities were available and working.  The bed was extremely comfortable and it was easy to serve the room environment to where we wanted it to be for us.  The bar facilities were great and in the morning the  breakfast was great.  Check out was fast and easy.    All I'm all an excellent stay.  We are looking forward to returning in March.  ",,https://www.tripadvisor.co.uk/Profile/U1661UGeileenb,Eileen Byrne wrote a review Jan 2023,Eileen Byrne,"Frome, United Kingdom",1 contribution,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r877023273-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Fabulous hotel in great location  ,Date of stay: January 2023,,,,
"From the moment we arrived we were made to feel so incredibly welcome by the staff at reception. The whole ambience and decor of the hotel was impressive and we were delighted to find a room larger than we expected, and equally as well decorated as the main parts of the hotel. We had drinks at the bar before eating at Miller & Carter (where again we received excellent service) and enjoyed breakfast in bed the following morning – a real treat. We would highly recommend staying here. The location is central and perfect for exploring many parts of the city, and the whole stay was excellent value for money.",,https://www.tripadvisor.co.uk/Profile/536vickic,vicki c wrote a review Jan 2023,vicki c,"Taunton, United Kingdom",18 contributions,4 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r876977876-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Fantastic birthday weekend away,Date of stay: January 2023,,,,
"I stayed at this hotel during my wife's birthday. The staff were really friendly and helpful, a complimentary bottle of wine and chocolates were sent to our room on arrival with a lovely birthday card. The restaurant and the food were superb. The bar staff were very accommodating and friendly. We had excellent room service and a truly wonderful stay. We will certainly stay at this hotel again next time we visit Bristol because of its grand interior, location to the waterfront and city centre. Strongly recommended.",,https://www.tripadvisor.co.uk/Profile/michaelbE468UY,Michael B wrote a review Jan 2023,Michael B,,1 contribution,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r876975310-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Beautiful and friendly hotel,Date of stay: January 2023,,,,
